userID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,time,ip
1,3,3,3,3,3,3,3,3,3,3,2018-05-02 11:14:34,130.75.87.30
2,1,4,4,2,5,1,2,5,4,2,2018-05-02 13:05:32,130.75.87.30
7,3,2,4,5,4,5,1,3,4,5,2018-05-02 13:06:15,130.75.87.30
3,1,4,5,1,5,4,2,4,5,2,2018-05-02 13:06:42,130.75.87.30
4,2,2,4,2,4,2,1,4,4,3,2018-05-02 13:07:17,130.75.87.30
8,4,4,4,4,4,2,3,5,5,4,2018-05-02 13:12:47,130.75.87.30
5,4,2,3,4,3,3,4,2,3,3,2018-05-02 13:14:11,130.75.87.30
6,4,4,3,3,4,4,3,3,4,4,2018-05-02 14:59:23,130.75.87.30
11,3,3,3,2,4,2,2,3,5,2,2018-05-02 15:00:50,130.75.87.30
12,4,4,4,3,4,2,3,4,2,5,2018-05-02 15:11:33,130.75.87.30
9,2,4,4,3,4,4,2,4,4,4,2018-05-03 09:03:16,130.75.87.30
13,2,2,3,3,4,4,2,4,4,2,2018-05-03 09:09:54,130.75.87.30
16,2,4,4,3,2,2,2,4,4,2,2018-05-03 11:09:02,130.75.87.30
14,2,3,4,2,2,2,3,2,5,2,2018-05-03 11:11:13,130.75.87.30
17,3,1,3,3,3,3,3,1,5,1,2018-05-03 11:12:29,130.75.87.30
15,4,4,3,4,3,4,4,3,2,4,2018-05-03 11:13:15,130.75.87.30
18,2,4,4,1,4,2,2,4,4,4,2018-05-03 12:54:17,130.75.87.30
20,2,5,4,2,5,1,2,5,5,2,2018-05-03 17:04:02,130.75.87.30
21,4,2,3,4,2,4,4,3,4,3,2018-05-04 08:56:47,130.75.87.30
23,1,2,4,2,5,4,1,4,4,2,2018-05-04 09:02:45,130.75.87.30
24,2,4,4,3,4,4,2,4,5,3,2018-05-04 09:03:55,130.75.87.30
22,2,3,4,2,4,2,2,4,4,1,2018-05-04 09:04:36,130.75.87.30
26,4,2,3,2,4,2,2,4,2,2,2018-05-04 11:01:03,130.75.87.30
27,4,4,4,4,5,2,2,4,4,4,2018-05-04 13:10:10,130.75.87.30
28,2,4,5,2,5,2,2,4,5,4,2018-05-07 09:12:28,130.75.87.30
29,4,4,4,3,3,1,3,4,2,2,2018-05-07 11:09:34,130.75.87.30
31,5,2,4,4,3,4,1,4,4,2,2018-05-07 13:00:18,130.75.87.30
32,4,4,4,4,4,3,2,4,5,5,2018-05-07 13:07:16,130.75.87.30
30,2,2,3,2,3,2,3,3,4,2,2018-05-07 13:09:11,130.75.87.30
34,3,3,4,3,2,3,2,4,2,4,2018-05-07 13:09:32,130.75.87.30
33,4,2,4,4,4,4,2,3,4,2,2018-05-07 13:13:30,130.75.87.30
37,2,1,4,1,5,1,1,4,3,1,2018-05-07 13:17:20,130.75.87.30
35,3,2,4,3,4,3,1,4,5,2,2018-05-07 14:59:39,130.75.87.30
36,4,2,2,4,2,4,4,2,2,4,2018-05-07 15:01:29,130.75.87.30
39,5,3,3,4,3,2,4,2,2,4,2018-05-07 15:06:41,130.75.87.30
40,4,4,5,2,4,2,2,5,4,4,2018-05-07 15:09:02,130.75.87.30
44,3,4,5,2,4,3,2,4,5,2,2018-05-08 09:03:35,130.75.87.30
43,3,2,5,2,5,1,2,4,4,1,2018-05-08 09:04:18,130.75.87.30
47,2,5,4,2,4,2,2,4,5,2,2018-05-08 13:09:32,130.75.87.30
48,1,4,5,2,5,1,1,5,4,3,2018-05-08 13:09:39,130.75.87.30
49,2,3,2,4,3,3,2,4,4,4,2018-05-08 13:10:42,130.75.87.30
46,4,4,4,2,3,2,2,4,4,3,2018-05-08 13:11:07,130.75.87.30
